# IMDM (www.stemcell.com, Catalog # 36150). Read with pandas!
# mw (molar weight) in grams/mole .... check cystine

id          g/L        mw         mM
  ala_L_e  0.025000   89.0900   0.280615
  arg_L_e  0.084000  210.6700   0.398728
  asn_L_e  0.028400  150.1400   0.189157
  asp_L_e  0.030000  133.1000   0.225394
Lcystin_e  0.091240  175.6400   0.519472
  glu_L_e  0.075000  147.1300   0.509753
  gln_L_e  0.584000  146.1400   3.996168
    gly_e  0.030000   75.0600   0.399680
  his_L_e  0.042000  209.6400   0.200343
  ile_L_e  0.105000  131.1700   0.800488
  leu_L_e  0.105000  131.1800   0.800427
  lys_L_e  0.146000  182.6500   0.799343
  met_L_e  0.030000  149.2000   0.201072
  phe_L_e  0.066000  165.1900   0.399540
  pro_L_e  0.040000  115.1300   0.347433
  ser_L_e  0.042000  105.9000   0.396601
  thr_L_e  0.095000  119.1200   0.797515
  trp_L_e  0.016000  204.2300   0.078343
  tyr_L_e  0.103790  261.1900   0.397374
  val_L_e  0.094000  117.1500   0.802390
  glc_D_e  4.500000  180.1600  24.977798
    btn_e  0.000013  244.3000   0.000053
   chol_e  0.004000  139.6200   0.028649
    fol_e  0.004000  441.3975   0.009062
  inost_e  0.007200  180.1600   0.039964
 pnto_R_e  0.004000  238.3000   0.016786
  pydxn_e  0.004000  205.7000   0.019446
 ribflv_e  0.000400  376.3600   0.001063
   thym_e  0.004000  337.3000   0.011859
     pi_e  0.109000  268.1000   0.406565
